P	Naoki Abe
N	Myriam Abramson
P	David W. Aha
P	Kamal M. Ali
N	Eric Allender
P	Dana Angluin
N	Chidanand Apte
P	Minoru Asada
P	Lars Asker
P	Javed Aslam
P	Haralabos Athanassiou
P	Jose L. Balcazar
P	Timothy P. Barber
P	Michael W. Barley
N	Cristina Baroglio
P	Peter Bartlett
N	Eric Baum
P	Welton Becket
N	Shai Ben-David
P	George Berg
P	Neil Berkman
P	Malini Bhandaru
P	Bir Bhanu
P	Reinhard Blasig
N	Avrim Blum
N	Anselm Blumer
P	Justin Boyan
P	Carla E. Brodley
P	Nader Bshouty
N	Wray Buntine
N	Andrey Burago
P	Tom Bylander
P	Bill Byrne
N	Claire Cardie
P	Richard A. Caruana
P	John Case
P	Jason Catlett
P	Nicolo Cesa-Bianchi
N	Philip Chan
P	Mark Changizi
P	Pang-Chieh Chen
N	Zhixiang Chen
P	Wan P. Chiang
N	Steve A. Chien
P	Jeffery Clouse
P	William Cohen
P	David Cohn
N	Clare Bates Congdon
N	Antoine Cornuejols
P	Mark W. Craven
P	Robert P. Daley
P	Lindley Darden
N	Chris Darken
N	Bhaskar Dasgupta
N	Brian D. Davidson
P	Michael de la Maza
N	Olivier De Vel
N	Scott E. Decatur
P	Gerald F. DeJong
P	Kan Deng
N	Thomas G. Dietterich
P	Michael J. Donahue
P	George A. Drastal
P	Harris Drucker
N	Chris Drummond
P	Hal Duncan
N	Thomas Ellman
P	Tapio Elomaa
P	Susan L. Epstein
P	Bob Evans
N	Claudio Facchinetti
P	Tom Fawcett
N	Usama Fayyad
P	Aaron Feigelson
P	Nicolas Fiechter
P	David Finton
P	John Fischer
P	Paul Fischer
P	Seth Flanders
P	Lance Fortnow
N	Ameur Foued
P	Judy A. Franklin
P	Yoav Freund
P	Johannes Furnkranz
P	Merrick L. Furst
P	Jean Gabriel Ganascia
P	William Gasarch
P	Ricard Gavalda
P	Melinda T. Gervasio
P	Yolanda Gil
P	David Gillman
N	Attilio Giordana
P	Kate Goelz
P	Paul W. Goldberg
P	Sally Goldman
P	Diana Gordon
P	Geoffrey Gordon
P	Jonathan Gratch
P	Leslie Grate
P	William A. Greene
P	Russell Greiner
P	Marko Grobelnik
P	Tal Grossman
P	Margo Guertin
P	Tom Hancock
P	Earl S. Harris Jr.
P	David Haussler
P	Matthias Heger
P	Lisa Hellerstein
P	David Helmbold
P	Daniel Hennessy
P	Haym Hirsh
P	Jonathan Hodgson
P	Robert C. Holte
P	Jiarong Hong
N	Chun-Nan Hsu
P	Kazushi Ikeda
P	Masayuki Inaba
N	Drago Indjic
P	Nitin Indurkhya
P	Jeff Jackson
P	Sanjay Jain
P	Wolfgang Janko
N	Klaus P. Jantke
P	Nathalie Japkowicz
P	George H. John
P	Randolph Jones
P	Michael I. Jordan
P	Leslie Pack Kaelbling
P	Bala Kalyanasundaram
N	Thomas E. Kammeyer
N	Grigoris Karakoulas
P	Michael Kearns
P	Neela Khan
P	Roni Khardon
P	Dennis F. Kibler
P	Jorg-Uwe Kietz
N	Efim Kinber
N	Jyrki Kivinen
N	Emanuel Knill
N	Craig Knoblock
P	Ron Kohavi
P	Pascal Koiran
P	Moshe Koppel
P	Daniel Kortenkamp
P	Matevz Kovacic
N	Stefan Kramer
P	Martinch Krikis
P	Martin Kummer
N	Eyal Kushilevitz
N	Stephen Kwek
P	Wai Lam
P	Ken Lang
N	Steffen Lange
P	Pat Langley
P	Mary Soon Lee
P	Wee Sun Lee
P	Moshe Leshno
P	Long-Ji Lin
N	Charles X. Ling
P	Michael Littman
P	David Loewenstern
N	Phil Long
P	Wolfgang Maass
N	Bruce A. MacDonald
P	Rich Maclin
N	Sridhar Mahadevan
N	J. Jeffrey Mahoney
P	Yishay Mansour
P	Mario Marchand
N	Shaul Markovitch
N	Oded Maron
P	Maja Mataric
P	David Mathias
P	Toshiyasu Matsushima
N	Stan Matwin
N	Eddy Mayoraz
N	R. Andrew McCallum
N	L. Thorne McCarty
N	Alexander M. Meystel
P	Michael A. meystel
N	Steven Minton
P	Nina Mishra
P	Tom M. Mitchell
P	Dunja Mladenic
P	David Montgomery
N	Andrew W. Moore
P	Johanne Morin
P	Hiroshi Motoda
